Kontext,Frage,Antwort
"Auf Verlangen muss die kündigende Partei die Kündigung schriftlich begründen. Eine Kündigung gilt insbesondere als missbräuchlich, wenn die eine Partei sie ausspricht (OR Art. 336): • wegen einer Eigenschaft, die der anderen Partei kraft ihrer Persönlichkeit zusteht. Es sei denn, diese Eigenschaft stehe in einem Zusammenhang mit dem Arbeitsverhältnis oder beeinträchtige wesentlich die Zusammenarbeit im Betrieb; • weil die andere Partei ein verfassungsmässiges Recht ausübt, es sei denn, die Rechtsausübung verletze eine Pflicht aus dem Arbeitsverhältnis oder beeinträchtige wesentlich die Zusammenarbeit im Betrieb; • ausschliesslich um die Entstehung von Ansprüchen der anderen Partei aus dem Arbeitsverhältnis zu vereiteln; • weil die andere Partei nach Treu und Glauben Ansprüche aus dem Arbeitsverhältnis geltend macht; • weil die andere Partei obligatorischen Militär- oder Schutzdienst oder Zivildienst leistet oder eine nicht freiwillig übernommene gesetzliche Pflicht erfüllt; • wegen Gewerkschaftszugehörigkeit. Die Partei, die der anderen missbräuchlich kündigt, hat dieser eine Entschädigung zu bezahlen.",Wann ist die Ausübung eines verfassungsmäßigen Rechts ein Grund für eine missbräuchliche Kündigung? ," weil die andere Partei ein verfassungsmässiges Recht ausübt, es sei denn, die Rechtsausübung verletze eine Pflicht aus dem Arbeitsverhältnis oder beeinträchtige wesentlich die Zusammenarbeit im Betrieb"
"Auf Verlangen muss die kündigende Partei die Kündigung schriftlich begründen. Eine Kündigung gilt insbesondere als missbräuchlich, wenn die eine Partei sie ausspricht (OR Art. 336): • wegen einer Eigenschaft, die der anderen Partei kraft ihrer Persönlichkeit zusteht. Es sei denn, diese Eigenschaft stehe in einem Zusammenhang mit dem Arbeitsverhältnis oder beeinträchtige wesentlich die Zusammenarbeit im Betrieb; • weil die andere Partei ein verfassungsmässiges Recht ausübt, es sei denn, die Rechtsausübung verletze eine Pflicht aus dem Arbeitsverhältnis oder beeinträchtige wesentlich die Zusammenarbeit im Betrieb; • ausschliesslich um die Entstehung von Ansprüchen der anderen Partei aus dem Arbeitsverhältnis zu vereiteln; • weil die andere Partei nach Treu und Glauben Ansprüche aus dem Arbeitsverhältnis geltend macht; • weil die andere Partei obligatorischen Militär- oder Schutzdienst oder Zivildienst leistet oder eine nicht freiwillig übernommene gesetzliche Pflicht erfüllt; • wegen Gewerkschaftszugehörigkeit. Die Partei, die der anderen missbräuchlich kündigt, hat dieser eine Entschädigung zu bezahlen.","Wann gilt eine Kündigung als missbräuchlich, wenn sie die Entstehung von Ansprüchen verhindert? ", ausschliesslich um die Entstehung von Ansprüchen der anderen Partei aus dem Arbeitsverhältnis zu vereiteln
"Auf Verlangen muss die kündigende Partei die Kündigung schriftlich begründen. Eine Kündigung gilt insbesondere als missbräuchlich, wenn die eine Partei sie ausspricht (OR Art. 336): • wegen einer Eigenschaft, die der anderen Partei kraft ihrer Persönlichkeit zusteht. Es sei denn, diese Eigenschaft stehe in einem Zusammenhang mit dem Arbeitsverhältnis oder beeinträchtige wesentlich die Zusammenarbeit im Betrieb; • weil die andere Partei ein verfassungsmässiges Recht ausübt, es sei denn, die Rechtsausübung verletze eine Pflicht aus dem Arbeitsverhältnis oder beeinträchtige wesentlich die Zusammenarbeit im Betrieb; • ausschliesslich um die Entstehung von Ansprüchen der anderen Partei aus dem Arbeitsverhältnis zu vereiteln; • weil die andere Partei nach Treu und Glauben Ansprüche aus dem Arbeitsverhältnis geltend macht; • weil die andere Partei obligatorischen Militär- oder Schutzdienst oder Zivildienst leistet oder eine nicht freiwillig übernommene gesetzliche Pflicht erfüllt; • wegen Gewerkschaftszugehörigkeit. Die Partei, die der anderen missbräuchlich kündigt, hat dieser eine Entschädigung zu bezahlen.","Wann ist eine Kündigung missbräuchlich, wenn die andere Partei Ansprüche aus dem Arbeitsverhältnis geltend macht? ", weil die andere Partei nach Treu und Glauben Ansprüche aus dem Arbeitsverhältnis geltend macht
"Auf Verlangen muss die kündigende Partei die Kündigung schriftlich begründen. Eine Kündigung gilt insbesondere als missbräuchlich, wenn die eine Partei sie ausspricht (OR Art. 336): • wegen einer Eigenschaft, die der anderen Partei kraft ihrer Persönlichkeit zusteht. Es sei denn, diese Eigenschaft stehe in einem Zusammenhang mit dem Arbeitsverhältnis oder beeinträchtige wesentlich die Zusammenarbeit im Betrieb; • weil die andere Partei ein verfassungsmässiges Recht ausübt, es sei denn, die Rechtsausübung verletze eine Pflicht aus dem Arbeitsverhältnis oder beeinträchtige wesentlich die Zusammenarbeit im Betrieb; • ausschliesslich um die Entstehung von Ansprüchen der anderen Partei aus dem Arbeitsverhältnis zu vereiteln; • weil die andere Partei nach Treu und Glauben Ansprüche aus dem Arbeitsverhältnis geltend macht; • weil die andere Partei obligatorischen Militär- oder Schutzdienst oder Zivildienst leistet oder eine nicht freiwillig übernommene gesetzliche Pflicht erfüllt; • wegen Gewerkschaftszugehörigkeit. Die Partei, die der anderen missbräuchlich kündigt, hat dieser eine Entschädigung zu bezahlen.",Wann ist eine Kündigung aufgrund von Militär- oder Schutzdienst oder Zivildienst missbräuchlich? , weil die andere Partei obligatorischen Militär- oder Schutzdienst oder Zivildienst leistet oder eine nicht freiwillig übernommene gesetzliche Pflicht erfüllt
"Auf Verlangen muss die kündigende Partei die Kündigung schriftlich begründen. Eine Kündigung gilt insbesondere als missbräuchlich, wenn die eine Partei sie ausspricht (OR Art. 336): • wegen einer Eigenschaft, die der anderen Partei kraft ihrer Persönlichkeit zusteht. Es sei denn, diese Eigenschaft stehe in einem Zusammenhang mit dem Arbeitsverhältnis oder beeinträchtige wesentlich die Zusammenarbeit im Betrieb; • weil die andere Partei ein verfassungsmässiges Recht ausübt, es sei denn, die Rechtsausübung verletze eine Pflicht aus dem Arbeitsverhältnis oder beeinträchtige wesentlich die Zusammenarbeit im Betrieb; • ausschliesslich um die Entstehung von Ansprüchen der anderen Partei aus dem Arbeitsverhältnis zu vereiteln; • weil die andere Partei nach Treu und Glauben Ansprüche aus dem Arbeitsverhältnis geltend macht; • weil die andere Partei obligatorischen Militär- oder Schutzdienst oder Zivildienst leistet oder eine nicht freiwillig übernommene gesetzliche Pflicht erfüllt; • wegen Gewerkschaftszugehörigkeit. Die Partei, die der anderen missbräuchlich kündigt, hat dieser eine Entschädigung zu bezahlen.",Wann gilt eine Kündigung wegen Gewerkschaftszugehörigkeit als missbräuchlich? , wegen Gewerkschaftszugehörigkeit. 
"Auf Verlangen muss die kündigende Partei die Kündigung schriftlich begründen. Eine Kündigung gilt insbesondere als missbräuchlich, wenn die eine Partei sie ausspricht (OR Art. 336): • wegen einer Eigenschaft, die der anderen Partei kraft ihrer Persönlichkeit zusteht. Es sei denn, diese Eigenschaft stehe in einem Zusammenhang mit dem Arbeitsverhältnis oder beeinträchtige wesentlich die Zusammenarbeit im Betrieb; • weil die andere Partei ein verfassungsmässiges Recht ausübt, es sei denn, die Rechtsausübung verletze eine Pflicht aus dem Arbeitsverhältnis oder beeinträchtige wesentlich die Zusammenarbeit im Betrieb; • ausschliesslich um die Entstehung von Ansprüchen der anderen Partei aus dem Arbeitsverhältnis zu vereiteln; • weil die andere Partei nach Treu und Glauben Ansprüche aus dem Arbeitsverhältnis geltend macht; • weil die andere Partei obligatorischen Militär- oder Schutzdienst oder Zivildienst leistet oder eine nicht freiwillig übernommene gesetzliche Pflicht erfüllt; • wegen Gewerkschaftszugehörigkeit. Die Partei, die der anderen missbräuchlich kündigt, hat dieser eine Entschädigung zu bezahlen.","Was muss die Partei tun, die der anderen missbräuchlich kündigt? "," Die Partei, die der anderen missbräuchlich kündigt, hat dieser eine Entschädigung zu bezahlen."
"Eingeschränkt sind die Kündigungsmöglichkeiten zur Unzeit. Nach Ablauf der Probezeit dürfen die Arbeitgebenden das Arbeitsverhältnis nicht kündigen: • während die andere Partei schweizerischen obligatorischen Militär- oder Schutzdienst oder schweizerischen Zivildienst leistet sowie, sofern die Dienstleistung mehr als elf Tage dauert, während vier Wochen vorher und nachher; • während folgender Dauer einer durch unverschuldete Krankheit oder Unfall verursachten Arbeitsunfähigkeit: im 1. Dienstjahr während 30 Tagen, im 2. bis. 5. Dienstjahr während 90 Tagen, ab dem 6. Dienstjahr während 180 Tagen; • während der Schwangerschaft und in den 16 Wochen nach der Niederkunft einer Arbeitnehmerin; • während Arbeitnehmer/innen mit Zustimmung der Arbeitgeber/innen an einer von der zuständigen Bundesbehörde angeordneten Dienstleistung für eine Hilfsaktion im Ausland teilnehmen. Eine Kündigung während einer solchen Frist ist nichtig. Eine Kündigung vor einer solchen Frist verlängert sich, bzw. wird während der Sperrfrist unterbrochen und nach Beendigung der Sperrfrist fortgesetzt. Beschränkt gilt die Kündigungsbeschränkung auch zu Ungunsten der Arbeitnehmenden, nämlich dann, wenn die Arbeitgebenden, bzw. vorgesetzte Personen, deren Funktion sie auszuüben vermögen, wegen schweizerischem obligatorischem Militär- oder Schutzdienst oder schweizerischem Zivildienst an der Ausübung ihrer Tätigkeit verhindert sind.",Wann dürfen Arbeitgebende das Arbeitsverhältnis nach Ablauf der Probezeit nicht kündigen? ," während die andere Partei schweizerischen obligatorischen Militär- oder Schutzdienst oder schweizerischen Zivildienst leistet sowie, sofern die Dienstleistung mehr als elf Tage dauert, während vier Wochen vorher und nachher; • während folgender Dauer einer durch unverschuldete Krankheit oder Unfall verursachten Arbeitsunfähigkeit: im 1. Dienstjahr während 30 Tagen, im 2. bis. 5. Dienstjahr während 90 Tagen, ab dem 6. Dienstjahr während 180 Tagen; • während der Schwangerschaft und in den 16 Wochen nach der Niederkunft einer Arbeitnehmerin; • während Arbeitnehmer/innen mit Zustimmung der Arbeitgeber/innen an einer von der zuständigen Bundesbehörde angeordneten Dienstleistung für eine Hilfsaktion im Ausland teilnehmen. "
"Eingeschränkt sind die Kündigungsmöglichkeiten zur Unzeit. Nach Ablauf der Probezeit dürfen die Arbeitgebenden das Arbeitsverhältnis nicht kündigen: • während die andere Partei schweizerischen obligatorischen Militär- oder Schutzdienst oder schweizerischen Zivildienst leistet sowie, sofern die Dienstleistung mehr als elf Tage dauert, während vier Wochen vorher und nachher; • während folgender Dauer einer durch unverschuldete Krankheit oder Unfall verursachten Arbeitsunfähigkeit: im 1. Dienstjahr während 30 Tagen, im 2. bis. 5. Dienstjahr während 90 Tagen, ab dem 6. Dienstjahr während 180 Tagen; • während der Schwangerschaft und in den 16 Wochen nach der Niederkunft einer Arbeitnehmerin; • während Arbeitnehmer/innen mit Zustimmung der Arbeitgeber/innen an einer von der zuständigen Bundesbehörde angeordneten Dienstleistung für eine Hilfsaktion im Ausland teilnehmen. Eine Kündigung während einer solchen Frist ist nichtig. Eine Kündigung vor einer solchen Frist verlängert sich, bzw. wird während der Sperrfrist unterbrochen und nach Beendigung der Sperrfrist fortgesetzt. Beschränkt gilt die Kündigungsbeschränkung auch zu Ungunsten der Arbeitnehmenden, nämlich dann, wenn die Arbeitgebenden, bzw. vorgesetzte Personen, deren Funktion sie auszuüben vermögen, wegen schweizerischem obligatorischem Militär- oder Schutzdienst oder schweizerischem Zivildienst an der Ausübung ihrer Tätigkeit verhindert sind.","Was passiert mit einer Kündigung, die während einer Sperrfrist ausgesprochen wird? ", Eine Kündigung während einer solchen Frist ist nichtig. 
"Eingeschränkt sind die Kündigungsmöglichkeiten zur Unzeit. Nach Ablauf der Probezeit dürfen die Arbeitgebenden das Arbeitsverhältnis nicht kündigen: • während die andere Partei schweizerischen obligatorischen Militär- oder Schutzdienst oder schweizerischen Zivildienst leistet sowie, sofern die Dienstleistung mehr als elf Tage dauert, während vier Wochen vorher und nachher; • während folgender Dauer einer durch unverschuldete Krankheit oder Unfall verursachten Arbeitsunfähigkeit: im 1. Dienstjahr während 30 Tagen, im 2. bis. 5. Dienstjahr während 90 Tagen, ab dem 6. Dienstjahr während 180 Tagen; • während der Schwangerschaft und in den 16 Wochen nach der Niederkunft einer Arbeitnehmerin; • während Arbeitnehmer/innen mit Zustimmung der Arbeitgeber/innen an einer von der zuständigen Bundesbehörde angeordneten Dienstleistung für eine Hilfsaktion im Ausland teilnehmen. Eine Kündigung während einer solchen Frist ist nichtig. Eine Kündigung vor einer solchen Frist verlängert sich, bzw. wird während der Sperrfrist unterbrochen und nach Beendigung der Sperrfrist fortgesetzt. Beschränkt gilt die Kündigungsbeschränkung auch zu Ungunsten der Arbeitnehmenden, nämlich dann, wenn die Arbeitgebenden, bzw. vorgesetzte Personen, deren Funktion sie auszuüben vermögen, wegen schweizerischem obligatorischem Militär- oder Schutzdienst oder schweizerischem Zivildienst an der Ausübung ihrer Tätigkeit verhindert sind.",Wie wirkt sich eine Kündigung vor einer Sperrfrist auf die Kündigungsfrist aus? ," Eine Kündigung vor einer solchen Frist verlängert sich, bzw. wird während der Sperrfrist unterbrochen und nach Beendigung der Sperrfrist fortgesetzt. "
"Eingeschränkt sind die Kündigungsmöglichkeiten zur Unzeit. Nach Ablauf der Probezeit dürfen die Arbeitgebenden das Arbeitsverhältnis nicht kündigen: • während die andere Partei schweizerischen obligatorischen Militär- oder Schutzdienst oder schweizerischen Zivildienst leistet sowie, sofern die Dienstleistung mehr als elf Tage dauert, während vier Wochen vorher und nachher; • während folgender Dauer einer durch unverschuldete Krankheit oder Unfall verursachten Arbeitsunfähigkeit: im 1. Dienstjahr während 30 Tagen, im 2. bis. 5. Dienstjahr während 90 Tagen, ab dem 6. Dienstjahr während 180 Tagen; • während der Schwangerschaft und in den 16 Wochen nach der Niederkunft einer Arbeitnehmerin; • während Arbeitnehmer/innen mit Zustimmung der Arbeitgeber/innen an einer von der zuständigen Bundesbehörde angeordneten Dienstleistung für eine Hilfsaktion im Ausland teilnehmen. Eine Kündigung während einer solchen Frist ist nichtig. Eine Kündigung vor einer solchen Frist verlängert sich, bzw. wird während der Sperrfrist unterbrochen und nach Beendigung der Sperrfrist fortgesetzt. Beschränkt gilt die Kündigungsbeschränkung auch zu Ungunsten der Arbeitnehmenden, nämlich dann, wenn die Arbeitgebenden, bzw. vorgesetzte Personen, deren Funktion sie auszuüben vermögen, wegen schweizerischem obligatorischem Militär- oder Schutzdienst oder schweizerischem Zivildienst an der Ausübung ihrer Tätigkeit verhindert sind.",Gilt die Kündigungsbeschränkung auch zu Ungunsten der Arbeitnehmenden? ," Beschränkt gilt die Kündigungsbeschränkung auch zu Ungunsten der Arbeitnehmenden, nämlich dann, wenn die Arbeitgebenden, bzw. vorgesetzte Personen, deren Funktion sie auszuüben vermögen, wegen schweizerischem obligatorischem Militär- oder Schutzdienst oder schweizerischem Zivildienst an der Ausübung ihrer Tätigkeit verhindert sind."
"Es ist auch die fristlose Auflösung des Arbeitsverhältnisses bei Vorliegen eines wichtigen Grundes möglich. Ob ein wichtiger Grund vorliegt oder nicht, bestimmt der Richter oder die Richterin. Die Ansprüche der Arbeitnehmer/innen bei ungerechtfertigter fristloser Entlassung sind in OR Art. 337c festgelegt: • Lohn für die Vertragszeit bzw. bis zum Ablauf der Kündigungsfrist; • davon ist abzuziehen: Ersparnis durch Arbeitsverhinderung, Erwerb durch anderweitige Arbeit oder Wert der absichtlichen Arbeitsunterlassung; • von den Richtern und Richterinnen festzusetzende Entschädigung nach freiem Ermessen, jedoch höchstens sechs Monatslöhne. Treten Arbeitnehmer/innen ohne wichtigen Grund ihre Stelle nicht an – und übrigens auch, wenn sie sie fristlos ohne wichtigen Grund verlassen –, so haben die Arbeitgeber/innen Anspruch auf einen Viertel des Monatslohns. Diesen Anspruch haben sie auch ohne detaillierten Nachweis des Schadens. Das Gesetz stellt einfach eine Vermutung zu Gunsten der Arbeitgeber/innen auf, nämlich, dass sie Schaden in dieser Höhe hätten. Eine weitergehende Schadensforderung ist möglich, falls sie der Arbeitgeber oder die Arbeitgeberin beweisen kann. Den Arbeitnehmer/innen steht es frei zu beweisen, dass die Arbeitgeberseite einen geringeren Schaden hatte. In diesem Fall kann das Gericht den Ersatz nach seinem Ermessen herabsetzen. Aber es sind nicht die Arbeitgeber/innen, die bis zu diesem Betrag jedes Detail nachweisen müssen, sondern ein Schaden in Höhe von einem Viertel des Monatslohnes wird vermutet. Den Arbeitgeber/innen wird allerdings aufgetragen, den Anspruch innerhalb von 30 Tagen durch Klage oder Betreibung seit dem Zeitpunkt des Nichtantritts oder des Verlassens der Arbeitsstelle durch den Arbeitnehmer oder die Arbeitnehmerin geltend zu machen. Das Gesetz droht andernfalls die Verwirkung des Anspruchs an (OR Art. 337d Abs. 3).",Was ist die fristlose Auflösung des Arbeitsverhältnisses? ,Es ist auch die fristlose Auflösung des Arbeitsverhältnisses bei Vorliegen eines wichtigen Grundes möglich.
"Es ist auch die fristlose Auflösung des Arbeitsverhältnisses bei Vorliegen eines wichtigen Grundes möglich. Ob ein wichtiger Grund vorliegt oder nicht, bestimmt der Richter oder die Richterin. Die Ansprüche der Arbeitnehmer/innen bei ungerechtfertigter fristloser Entlassung sind in OR Art. 337c festgelegt: • Lohn für die Vertragszeit bzw. bis zum Ablauf der Kündigungsfrist; • davon ist abzuziehen: Ersparnis durch Arbeitsverhinderung, Erwerb durch anderweitige Arbeit oder Wert der absichtlichen Arbeitsunterlassung; • von den Richtern und Richterinnen festzusetzende Entschädigung nach freiem Ermessen, jedoch höchstens sechs Monatslöhne. Treten Arbeitnehmer/innen ohne wichtigen Grund ihre Stelle nicht an – und übrigens auch, wenn sie sie fristlos ohne wichtigen Grund verlassen –, so haben die Arbeitgeber/innen Anspruch auf einen Viertel des Monatslohns. Diesen Anspruch haben sie auch ohne detaillierten Nachweis des Schadens. Das Gesetz stellt einfach eine Vermutung zu Gunsten der Arbeitgeber/innen auf, nämlich, dass sie Schaden in dieser Höhe hätten. Eine weitergehende Schadensforderung ist möglich, falls sie der Arbeitgeber oder die Arbeitgeberin beweisen kann. Den Arbeitnehmer/innen steht es frei zu beweisen, dass die Arbeitgeberseite einen geringeren Schaden hatte. In diesem Fall kann das Gericht den Ersatz nach seinem Ermessen herabsetzen. Aber es sind nicht die Arbeitgeber/innen, die bis zu diesem Betrag jedes Detail nachweisen müssen, sondern ein Schaden in Höhe von einem Viertel des Monatslohnes wird vermutet. Den Arbeitgeber/innen wird allerdings aufgetragen, den Anspruch innerhalb von 30 Tagen durch Klage oder Betreibung seit dem Zeitpunkt des Nichtantritts oder des Verlassens der Arbeitsstelle durch den Arbeitnehmer oder die Arbeitnehmerin geltend zu machen. Das Gesetz droht andernfalls die Verwirkung des Anspruchs an (OR Art. 337d Abs. 3).","Wer bestimmt, ob ein wichtiger Grund für eine fristlose Entlassung vorliegt? "," Ob ein wichtiger Grund vorliegt oder nicht, bestimmt der Richter oder die Richterin. "
"Es ist auch die fristlose Auflösung des Arbeitsverhältnisses bei Vorliegen eines wichtigen Grundes möglich. Ob ein wichtiger Grund vorliegt oder nicht, bestimmt der Richter oder die Richterin. Die Ansprüche der Arbeitnehmer/innen bei ungerechtfertigter fristloser Entlassung sind in OR Art. 337c festgelegt: • Lohn für die Vertragszeit bzw. bis zum Ablauf der Kündigungsfrist; • davon ist abzuziehen: Ersparnis durch Arbeitsverhinderung, Erwerb durch anderweitige Arbeit oder Wert der absichtlichen Arbeitsunterlassung; • von den Richtern und Richterinnen festzusetzende Entschädigung nach freiem Ermessen, jedoch höchstens sechs Monatslöhne. Treten Arbeitnehmer/innen ohne wichtigen Grund ihre Stelle nicht an – und übrigens auch, wenn sie sie fristlos ohne wichtigen Grund verlassen –, so haben die Arbeitgeber/innen Anspruch auf einen Viertel des Monatslohns. Diesen Anspruch haben sie auch ohne detaillierten Nachweis des Schadens. Das Gesetz stellt einfach eine Vermutung zu Gunsten der Arbeitgeber/innen auf, nämlich, dass sie Schaden in dieser Höhe hätten. Eine weitergehende Schadensforderung ist möglich, falls sie der Arbeitgeber oder die Arbeitgeberin beweisen kann. Den Arbeitnehmer/innen steht es frei zu beweisen, dass die Arbeitgeberseite einen geringeren Schaden hatte. In diesem Fall kann das Gericht den Ersatz nach seinem Ermessen herabsetzen. Aber es sind nicht die Arbeitgeber/innen, die bis zu diesem Betrag jedes Detail nachweisen müssen, sondern ein Schaden in Höhe von einem Viertel des Monatslohnes wird vermutet. Den Arbeitgeber/innen wird allerdings aufgetragen, den Anspruch innerhalb von 30 Tagen durch Klage oder Betreibung seit dem Zeitpunkt des Nichtantritts oder des Verlassens der Arbeitsstelle durch den Arbeitnehmer oder die Arbeitnehmerin geltend zu machen. Das Gesetz droht andernfalls die Verwirkung des Anspruchs an (OR Art. 337d Abs. 3).",Wo sind die Ansprüche der Arbeitnehmer/innen bei ungerechtfertigter fristloser Entlassung festgelegt? , Die Ansprüche der Arbeitnehmer/innen bei ungerechtfertigter fristloser Entlassung sind in OR Art. 337c festgelegt
"Es ist auch die fristlose Auflösung des Arbeitsverhältnisses bei Vorliegen eines wichtigen Grundes möglich. Ob ein wichtiger Grund vorliegt oder nicht, bestimmt der Richter oder die Richterin. Die Ansprüche der Arbeitnehmer/innen bei ungerechtfertigter fristloser Entlassung sind in OR Art. 337c festgelegt: • Lohn für die Vertragszeit bzw. bis zum Ablauf der Kündigungsfrist; • davon ist abzuziehen: Ersparnis durch Arbeitsverhinderung, Erwerb durch anderweitige Arbeit oder Wert der absichtlichen Arbeitsunterlassung; • von den Richtern und Richterinnen festzusetzende Entschädigung nach freiem Ermessen, jedoch höchstens sechs Monatslöhne. Treten Arbeitnehmer/innen ohne wichtigen Grund ihre Stelle nicht an – und übrigens auch, wenn sie sie fristlos ohne wichtigen Grund verlassen –, so haben die Arbeitgeber/innen Anspruch auf einen Viertel des Monatslohns. Diesen Anspruch haben sie auch ohne detaillierten Nachweis des Schadens. Das Gesetz stellt einfach eine Vermutung zu Gunsten der Arbeitgeber/innen auf, nämlich, dass sie Schaden in dieser Höhe hätten. Eine weitergehende Schadensforderung ist möglich, falls sie der Arbeitgeber oder die Arbeitgeberin beweisen kann. Den Arbeitnehmer/innen steht es frei zu beweisen, dass die Arbeitgeberseite einen geringeren Schaden hatte. In diesem Fall kann das Gericht den Ersatz nach seinem Ermessen herabsetzen. Aber es sind nicht die Arbeitgeber/innen, die bis zu diesem Betrag jedes Detail nachweisen müssen, sondern ein Schaden in Höhe von einem Viertel des Monatslohnes wird vermutet. Den Arbeitgeber/innen wird allerdings aufgetragen, den Anspruch innerhalb von 30 Tagen durch Klage oder Betreibung seit dem Zeitpunkt des Nichtantritts oder des Verlassens der Arbeitsstelle durch den Arbeitnehmer oder die Arbeitnehmerin geltend zu machen. Das Gesetz droht andernfalls die Verwirkung des Anspruchs an (OR Art. 337d Abs. 3).",Was steht Arbeitnehmern bei ungerechtfertigter fristloser Entlassung zu? ," Lohn für die Vertragszeit bzw. bis zum Ablauf der Kündigungsfrist; • davon ist abzuziehen: Ersparnis durch Arbeitsverhinderung, Erwerb durch anderweitige Arbeit oder Wert der absichtlichen Arbeitsunterlassung; • von den Richtern und Richterinnen festzusetzende Entschädigung nach freiem Ermessen, jedoch höchstens sechs Monatslöhne. "
"Es ist auch die fristlose Auflösung des Arbeitsverhältnisses bei Vorliegen eines wichtigen Grundes möglich. Ob ein wichtiger Grund vorliegt oder nicht, bestimmt der Richter oder die Richterin. Die Ansprüche der Arbeitnehmer/innen bei ungerechtfertigter fristloser Entlassung sind in OR Art. 337c festgelegt: • Lohn für die Vertragszeit bzw. bis zum Ablauf der Kündigungsfrist; • davon ist abzuziehen: Ersparnis durch Arbeitsverhinderung, Erwerb durch anderweitige Arbeit oder Wert der absichtlichen Arbeitsunterlassung; • von den Richtern und Richterinnen festzusetzende Entschädigung nach freiem Ermessen, jedoch höchstens sechs Monatslöhne. Treten Arbeitnehmer/innen ohne wichtigen Grund ihre Stelle nicht an – und übrigens auch, wenn sie sie fristlos ohne wichtigen Grund verlassen –, so haben die Arbeitgeber/innen Anspruch auf einen Viertel des Monatslohns. Diesen Anspruch haben sie auch ohne detaillierten Nachweis des Schadens. Das Gesetz stellt einfach eine Vermutung zu Gunsten der Arbeitgeber/innen auf, nämlich, dass sie Schaden in dieser Höhe hätten. Eine weitergehende Schadensforderung ist möglich, falls sie der Arbeitgeber oder die Arbeitgeberin beweisen kann. Den Arbeitnehmer/innen steht es frei zu beweisen, dass die Arbeitgeberseite einen geringeren Schaden hatte. In diesem Fall kann das Gericht den Ersatz nach seinem Ermessen herabsetzen. Aber es sind nicht die Arbeitgeber/innen, die bis zu diesem Betrag jedes Detail nachweisen müssen, sondern ein Schaden in Höhe von einem Viertel des Monatslohnes wird vermutet. Den Arbeitgeber/innen wird allerdings aufgetragen, den Anspruch innerhalb von 30 Tagen durch Klage oder Betreibung seit dem Zeitpunkt des Nichtantritts oder des Verlassens der Arbeitsstelle durch den Arbeitnehmer oder die Arbeitnehmerin geltend zu machen. Das Gesetz droht andernfalls die Verwirkung des Anspruchs an (OR Art. 337d Abs. 3).","Welchen Anspruch haben Arbeitgeber/innen, wenn Arbeitnehmer/innen ihre Stelle ohne wichtigen Grund nicht antreten oder fristlos verlassen? "," Treten Arbeitnehmer/innen ohne wichtigen Grund ihre Stelle nicht an – und übrigens auch, wenn sie sie fristlos ohne wichtigen Grund verlassen –, so haben die Arbeitgeber/innen Anspruch auf einen Viertel des Monatslohns. "
"Es ist auch die fristlose Auflösung des Arbeitsverhältnisses bei Vorliegen eines wichtigen Grundes möglich. Ob ein wichtiger Grund vorliegt oder nicht, bestimmt der Richter oder die Richterin. Die Ansprüche der Arbeitnehmer/innen bei ungerechtfertigter fristloser Entlassung sind in OR Art. 337c festgelegt: • Lohn für die Vertragszeit bzw. bis zum Ablauf der Kündigungsfrist; • davon ist abzuziehen: Ersparnis durch Arbeitsverhinderung, Erwerb durch anderweitige Arbeit oder Wert der absichtlichen Arbeitsunterlassung; • von den Richtern und Richterinnen festzusetzende Entschädigung nach freiem Ermessen, jedoch höchstens sechs Monatslöhne. Treten Arbeitnehmer/innen ohne wichtigen Grund ihre Stelle nicht an – und übrigens auch, wenn sie sie fristlos ohne wichtigen Grund verlassen –, so haben die Arbeitgeber/innen Anspruch auf einen Viertel des Monatslohns. Diesen Anspruch haben sie auch ohne detaillierten Nachweis des Schadens. Das Gesetz stellt einfach eine Vermutung zu Gunsten der Arbeitgeber/innen auf, nämlich, dass sie Schaden in dieser Höhe hätten. Eine weitergehende Schadensforderung ist möglich, falls sie der Arbeitgeber oder die Arbeitgeberin beweisen kann. Den Arbeitnehmer/innen steht es frei zu beweisen, dass die Arbeitgeberseite einen geringeren Schaden hatte. In diesem Fall kann das Gericht den Ersatz nach seinem Ermessen herabsetzen. Aber es sind nicht die Arbeitgeber/innen, die bis zu diesem Betrag jedes Detail nachweisen müssen, sondern ein Schaden in Höhe von einem Viertel des Monatslohnes wird vermutet. Den Arbeitgeber/innen wird allerdings aufgetragen, den Anspruch innerhalb von 30 Tagen durch Klage oder Betreibung seit dem Zeitpunkt des Nichtantritts oder des Verlassens der Arbeitsstelle durch den Arbeitnehmer oder die Arbeitnehmerin geltend zu machen. Das Gesetz droht andernfalls die Verwirkung des Anspruchs an (OR Art. 337d Abs. 3).","Müssen Arbeitgeber/innen den Schaden detailliert nachweisen, um einen Viertel des Monatslohns zu erhalten? ", Diesen Anspruch haben sie auch ohne detaillierten Nachweis des Schadens. 
